station_id,name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times,official_transfer_time
8821154,Mortsel-Deurnesteenweg,,,,,be,4.446514,51.183023,199.835821,300
8821246,Mortsel-Liersesteenweg,,,,,be,4.468843,51.169027,56.589552,300
8821238,Mortsel-Oude God,,,,,be,4.455737,51.171256,199.835821,300
8885704,Mouscron,,Moeskroen,Mouscron / Moeskroen,Moeskroen / Mouscron,be,3.228448,50.741005,78.365672,300
8889011,Mouscron-Frontiere,,Moeskroen-Grens,,,be,3.196086,50.721716,43.970149,120
8861150,Moustier,,,,,be,4.693807,50.452748,107.41791,300
8811403,Mouterij/Germoir,Germoir,Mouterij,Germoir,Mouterij,be,4.37866,50.829929,146.955224,300
8774172,Moûtiers-Salins-Brides-les-Bai,,,,,fr,6.531454,45.486693,0,
8822426,Muizen,,,,,be,4.513843,51.008201,126.753731,300
8718206,Mulhouse,,,,,fr,7.333336,47.749998,0,
8895232,Munkzwalm,,,,,be,3.733238,50.875673,70.716418,300
8842648,Méry,,,,,be,5.587236,50.54762,53.350746,300
8863008,Namur,,Namen,,,be,4.86222,50.468794,333.977612,300
8863453,Namêche,,,,,be,4.997939,50.47043,88.313433,300
8864964,Naninne,,,,,be,4.929756,50.419695,73.134328,300
8778110,Narbonne,,,,,fr,3.00601,43.190399,0,
8864915,Natoye,,,,,be,5.06116,50.343296,73.134328,300
8832615,Neerpelt,,,,,be,5.43717,51.222369,34.186567,300
8833670,Neerwinden,,,,,be,5.036323,50.763964,110.574627,300
8844230,Nessonvaux,,,,,be,5.741581,50.572089,86.149254,300
8866258,Neufchâteau,,,,,be,5.452559,49.854318,59.425373,300
8883121,Neufvilles,,,,,be,4.010672,50.543602,86.179104,300
8775605,Nice Ville,,,,,fr,7.261928,43.704605,0.014925,300
8824240,Niel,,,,,be,4.338589,51.111595,56.455224,300
8894714,Nieuwkerken-Waas,,,,,be,4.185907,51.185612,150.69403,300
8821667,Nijlen,,,,,be,4.666588,51.15984,138.179104,300
8881315,Nimy,,,,,be,3.956089,50.471644,90.029851,300
8895760,Ninove,,,,,be,4.026133,50.839509,47.537313,300
8814209,Nivelles,,Nijvel,,,be,4.335065,50.599641,147.358209,300
8821105,Noorderkempen,,,,Noorderkempen (brecht),be,4.632204,51.356838,57.447761,300
8811247,Nossegem,,,,,be,4.506112,50.883314,329.365672,300
8777500,Nîmes,,,,,fr,4.365997,43.832602,0.022388,300
8871332,Obaix-Buzet,,,,,be,4.36357,50.535206,89.208955,300
8881406,Obourg,,,,,be,4.007804,50.469873,90.029851,300
8895778,Okegem,,,,,be,4.054557,50.857712,47.537313,300
8832458,Olen,,,,,be,4.9025,51.17403,74.514925,300
8891702,Oostende,Ostende,,,,be,2.925809,51.228212,116.828358,300
8891116,Oostkamp,,,,,be,3.257466,51.154114,188.276119,300
8812146,Opwijk,,,,,be,4.187319,50.974779,91.723881,300
8811601,Ottignies,,,,,be,4.56936,50.673667,356.119403,300
8833134,Oud-Heverlee,,,,,be,4.653311,50.835931,54.507463,300
8893518,Oudegem,,,,,be,4.064472,51.01523,64.977612,300
8892601,Oudenaarde,Audenarde,,,,be,3.600386,50.850116,120.858209,240
8843174,Ougrée,,,,,be,5.536972,50.605396,34.440299,300
8832573,Overpelt,,,,,be,5.422751,51.215618,34.186567,300
8865540,Paliseul,,,,,be,5.118349,49.895408,27.768657,300
8886561,Papegem,Papignies,Papegem,Papignies,Papignies,be,3.823408,50.686585,37.567164,300
8727100,Paris Nord,,Parijs Noord,,,fr,2.333333,48.866667,1.58209,300
8844206,Pepinster,,,,,be,5.80615,50.568179,117.80597,240
8844313,Pepinster-Cité,,,,,be,5.804397,50.563405,31.656716,300
8778400,Perpignan,,,,,fr,2.879397,42.695938,0,
8200930,Petange,,,,,lu,5.878681,49.55425,140.768657,300
8200102,Pfaffenthal-Kirchberg,,,,,lu,6.132853,49.619126,13.932836,300
8873122,Philippeville,,,,,be,4.535956,50.191639,31.649254,300
8871415,Piéton,,,,,be,4.288438,50.434959,82.671642,300
8865227,Poix-Saint-Hubert,,,,,be,5.292641,50.019504,55.61194,300
8728683,Pont de Bois,,,,,fr,3.1275,50.624164,31.880597,300
8843141,Pont-de-Seraing,,,,,be,5.510162,50.619651,86.067164,300
8871365,Pont-à-Celles,,,,,be,4.355291,50.513812,34.38806,300
8896735,Poperinge,,,,,be,2.736343,50.854449,41.544776,300
8842689,Poulseur,,,,,be,5.578858,50.509209,53.350746,300
8811544,Profondsart,,,,,be,4.545435,50.699653,160.708955,300
8873312,Pry,,,,,be,4.428805,50.269278,33.514925,300
8822715,Puurs,,,,,be,4.282703,51.07722,95.679104,300
8811775,Pécrot,,,,,be,4.651486,50.778517,54.410448,300
8884855,Péruwelz,,,,,be,3.592772,50.513704,66.597015,300
8884541,Quaregnon,,,,,be,3.856543,50.449827,102.014925,300
8881505,Quevy,,,,,be,3.909489,50.341534,27.716418,300
8889003,Quevy-frontiere,,,,,be,3.908753,50.32771,5.955224,120
8884335,Quievrain,,,,,be,3.68608,50.410103,32.768657,300
8886587,Rebaix,,,,,be,3.793627,50.661235,37.567164,300
8841442,Remicourt,,,,,be,5.321407,50.678611,63.216418,300
8861440,Rhisnes,,,,,be,4.801866,50.499348,130.11194,300
8842705,Rivage,,,,,be,5.587631,50.483285,56.634328,300
8811536,Rixensart,,,,,be,4.532855,50.711413,160.708955,300
8864006,Rochefort-Jemelle,,,,,be,5.266698,50.160401,87.492537,300
8200940,Rodange,,,,,lu,5.845028,49.551283,109.507463,180
8896800,Roeselare,Roulers,,,,be,3.130412,50.949025,68.574627,300
8861119,Ronet,,,,,be,4.82842,50.457737,107.41791,300
8892908,Ronse,Renaix,,Renaix / Ronse,Ronse / Renaix,be,3.602552,50.742506,34.850746,300
