Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
SCHOONAARDE,129,170.83,1.32,26,7.0,1.0,5.43,0.78,446.0,SCHOONAARDE,257.0,126.0,136.0,257.0,43.9,0.06608357628765792
SCHULEN,275,469.37,1.71,56,31.0,2.0,11.27,0.73,447.0,SCHULEN,242.0,106.0,186.0,242.0,113.59,0.09912536443148688
SCHULEN-SAS,272,464.1,1.71,56,34.0,2.0,12.5,0.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
SCLAIGNEAUX,192,450.7,2.35,39,26.0,2.0,13.54,1.04,448.0,SCLAIGNEAUX,93.0,10.0,12.0,93.0,41.92,0.09037900874635568
SCLESSIN,198,380.1,1.92,40,20.0,1.0,10.1,0.51,0.0,0,0.0,0.0,0.0,0.0,0.0,0.10398445092322643
SERAING,120,93.22,0.78,24,1.0,0.0,0.83,0.0,450.0,SERAING,294.0,89.0,77.0,294.0,27.41,0.024295432458697766
SERSKAMP,142,306.45,2.16,29,14.0,3.0,9.86,2.11,451.0,SERSKAMP,205.0,53.0,52.0,205.0,62.82,0.08843537414965986
SILLY,145,619.22,4.27,30,34.0,10.0,23.45,6.9,452.0,SILLY,1119.0,199.0,188.0,1119.0,692.91,0.05344995140913508
SIMONIS,60,202.22,3.37,12,16.0,1.0,26.67,1.67,453.0,SIMONIS,99.0,40.0,40.0,99.0,20.02,0.029154518950437316
SINAAI,310,495.12,1.6,62,22.0,1.0,7.1,0.32,454.0,SINAAI,433.0,69.0,72.0,433.0,214.39,0.13313896987366375
SINT-AGATHA-BERCHEM,140,125.15,0.89,28,5.0,0.0,3.57,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04664723032069971
SINT-DENIJS-BOEKEL,192,442.4,2.3,41,26.0,7.0,13.54,3.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
SINT-GENESIUS-RODE,370,820.72,2.22,75,38.0,6.0,10.27,1.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15840621963070942
SINT-GILLIS(DENDERMONDE),179,623.12,3.48,36,37.0,8.0,20.67,4.47,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07580174927113703
SINT-JOB,295,537.88,1.82,60,27.0,4.0,9.15,1.36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1185617103984451
