Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
RONSE,54,21.685,0.8,11,0.0,0.0,0.0,0.0,0.0,RONSE,1160,348,290,1160,50.31,0.01950585175552666,-2.639238313822705,543.0
ROUX,70,33.765,0.96,14,0.0,0.0,0.0,0.0,437.0,ROUX,134,32,16,134,9.05,0.0377113133940182,-2.3333306232137945,516.0
RUISBROEK,134,215.715,3.22,27,15.0,1.0,11.19,1.49,439.0,RUISBROEK,729,247,200,729,314.51,0.09102730819245773,0.9929745186861347,96.0
RUISBROEK-SAUVEGARDE,118,143.235,2.43,27,8.0,0.0,6.78,0.85,0.0,RUISBROEK-SAUVEGARDE,162,48,40,162,46.41,0.045513654096228866,-0.5423703139307507,264.0
SAINT-DENIS-BOVESSE,100,84.91,1.7,20,6.0,0.0,6.0,0.0,0.0,SAINT-DENIS-BOVESSE,191,57,47,191,32.44,0.027958387516254877,-1.1021301353551567,331.0
SAINT-GHISLAIN,275,315.665,2.3,56,18.0,4.0,6.55,3.27,0.0,SAINT-GHISLAIN,1821,546,455,1821,1149.65,0.11573472041612484,1.424533114993564,73.0
SART-BERNARD,103,76.775,1.49,21,2.0,0.0,1.94,0.0,440.0,SART-BERNARD,122,44,27,122,18.73,0.0305591677503251,-1.7961947988827183,446.0
SCHAARBEEK,429,544.96,2.54,88,34.0,4.0,7.93,1.86,0.0,SCHAARBEEK,3073,921,768,3073,3349.32,0.21001300390117036,4.092299032588807,19.0
SCHAARBEEK-JOSAPHAT,1,13.18,13.18,1,1.0,0.0,100.0,0.0,0.0,SCHAARBEEK-JOSAPHAT,1000,300,250,1000,13.18,0.0006501950585175553,2.8328717101957914,36.0
SCHELDEWINDEKE,110,101.1,1.84,23,4.0,2.0,3.64,2.73,442.0,SCHELDEWINDEKE,366,70,74,366,74.01,0.043563068920676205,-1.259401181674752,355.0
SCHELLE,128,143.485,2.24,27,7.0,2.0,5.47,2.34,443.0,SCHELLE,262,51,33,262,75.19,0.0799739921976593,-0.3490030524713621,236.0
SCHELLEBELLE,163,129.4,1.59,35,6.0,0.0,3.68,0.61,444.0,SCHELLEBELLE,560,102,84,560,144.93,0.08387516254876463,-0.4766177809811738,255.0
SCHENDELBEKE,155,209.49,2.7,31,10.0,2.0,6.45,2.58,445.0,SCHENDELBEKE,238,58,46,238,99.72,0.05136540962288687,-0.18823603986736548,213.0
SCHOONAARDE,78,47.51,1.22,16,2.0,0.0,2.56,0.0,446.0,SCHOONAARDE,257,126,136,257,24.42,0.046163849154746424,-1.7153540512887557,432.0
SCHULEN,95,80.59,1.7,19,6.0,0.0,6.32,1.05,447.0,SCHULEN,242,106,186,242,39.01,0.031209362808842653,-1.0460641353895308,325.0
SCLAIGNEAUX,90,59.965,1.33,18,2.0,0.0,2.22,0.0,448.0,SCLAIGNEAUX,93,10,12,93,11.15,0.03185955786736021,-1.839457310622951,458.0
SCLESSIN,90,59.26,1.32,18,1.0,0.0,1.11,0.0,0.0,SCLESSIN,63,19,15,63,7.47,0.02860858257477243,-2.072558285825918,497.0
SERAING,135,49.865,0.74,27,0.0,0.0,0.0,0.0,450.0,SERAING,294,89,77,294,29.32,0.032509752925877766,-2.019367635746926,486.0
SERSKAMP,84,110.76,2.64,18,6.0,0.0,7.14,1.19,451.0,SERSKAMP,205,53,52,205,45.41,0.0611183355006502,-0.5612114347698883,265.0
SILLY,169,329.79,3.9,35,18.0,5.0,10.65,5.92,452.0,SILLY,1119,199,188,1119,738.07,0.05916775032509753,1.018940476732729,95.0
SIMONIS,70,114.775,3.28,14,9.0,0.0,12.86,1.43,453.0,SIMONIS,99,40,40,99,22.73,0.0247074122236671,-0.006266813134460633,183.0
SINAAI,140,124.625,1.78,28,3.0,0.0,2.14,0.71,454.0,SINAAI,433,69,72,433,107.93,0.06371911573472042,-1.0963277306578554,330.0
SINT-AGATHA-BERCHEM,155,67.465,0.87,31,2.0,0.0,1.29,0.0,0.0,SINT-AGATHA-BERCHEM,666,200,166,666,89.86,0.07672301690507152,-1.1675367257676628,342.0
SINT-DENIJS-BOEKEL,97,116.69,2.41,24,7.0,2.0,7.22,5.15,0.0,SINT-DENIJS-BOEKEL,131,39,32,131,30.57,0.0247074122236671,-0.8606561566258176,298.0
SINT-GENESIUS-RODE,278,303.265,2.18,56,14.0,2.0,5.04,1.44,0.0,SINT-GENESIUS-RODE,1690,507,422,1690,1025.04,0.12873862158647595,1.2797409414228318,80.0
SINT-GILLIS(DENDERMONDE),140,215.46,3.08,28,14.0,2.0,10.0,2.86,0.0,SINT-GILLIS(DENDERMONDE),1000,300,250,1000,430.92,0.05981794538361508,0.47902033577207087,141.0
SINT-JOB,335,298.815,1.78,68,14.0,2.0,4.18,1.49,0.0,SINT-JOB,670,201,167,670,400.41,0.1644993498049415,1.7737678586318926,62.0
SINT-JORIS-WEERT,140,83.975,1.2,28,2.0,1.0,1.43,1.43,0.0,SINT-JORIS-WEERT,312,93,78,312,52.4,0.0494148244473342,-1.4758243749615283,392.0
SINT-KATELIJNE-WAVER,139,102.015,1.47,28,6.0,0.0,4.32,0.0,0.0,SINT-KATELIJNE-WAVER,736,220,184,736,150.17,0.09817945383615084,-0.3967050080618123,240.0
SINT-MARIABURG,133,194.125,2.92,28,12.0,1.0,9.02,1.5,0.0,SINT-MARIABURG,216,64,54,216,83.86,0.05201560468140442,0.12354786672991404,166.0
SINT-MARTENS-BODEGEM,155,103.325,1.33,31,2.0,0.0,1.29,0.0,0.0,SINT-MARTENS-BODEGEM,376,112,94,376,77.7,0.08907672301690507,-0.9482577734260706,314.0
SINT-NIKLAAS,403,259.615,1.29,81,12.0,2.0,2.98,0.74,0.0,SINT-NIKLAAS,10956,3287,2739,10956,5688.68,0.1905071521456437,2.26357239659818,50.0
SINT-TRUIDEN,133,142.215,2.14,27,8.0,0.0,6.02,0.0,0.0,SINT-TRUIDEN,1684,505,421,1684,478.98,0.07672301690507152,-0.2516561835612541,223.0
SLEIDINGE,90,56.46,1.25,18,3.0,0.0,3.33,0.0,455.0,SLEIDINGE,269,62,42,269,30.38,0.03836150845253576,-1.5808377750896083,402.0
SOIGNIES,244,338.59,2.78,50,21.0,2.0,8.61,1.23,456.0,SOIGNIES,2371,674,548,2371,1605.59,0.08452535760728218,1.3630958880020663,75.0
SOLRE-SUR-SAMBRE,100,72.25,1.44,21,0.0,0.0,0.0,0.0,457.0,SOLRE-SUR-SAMBRE,77,30,26,77,11.13,0.027308192457737322,-2.2005417063436337,505.0
SPA,69,39.935,1.16,14,2.0,0.0,2.9,0.0,458.0,SPA,414,207,153,414,33.07,0.01495448634590377,-2.056311136485763,495.0
SPA-GERONSTERE,39,14.21,0.73,8,0.0,0.0,0.0,0.0,459.0,SPA-GERONSTERE,382,172,124,382,10.86,0.015604681404421327,-2.776970221802272,550.0
STATTE,163,165.54,2.03,33,10.0,2.0,6.13,1.84,472.0,STATTE,396,275,220,396,131.11,0.09557867360208062,0.16920528352738112,163.0
STOCKEM,80,39.015,0.98,18,0.0,0.0,0.0,0.0,473.0,STOCKEM,26,6,10,26,2.03,0.021456436931079324,-2.445722351569063,528.0
STOUMONT,10,1.05,0.1,2,1.0,0.0,10.0,0.0,0.0,STOUMONT,1000,300,250,1000,1.05,0.0006501950585175553,-1.3509880106167094,374.0
SY,84,69.05,1.64,17,2.0,0.0,2.38,0.0,474.0,SY,49,12,12,49,6.77,0.044213263979193757,-1.6865200045685684,422.0
TAMINES,267,329.55,2.47,60,21.0,2.0,7.87,1.87,475.0,TAMINES,1606,364,365,1606,1058.51,0.11248374512353707,1.6123876381925297,69.0
TEMSE,105,187.975,3.58,23,12.0,1.0,11.43,1.9,476.0,TEMSE,674,237,201,674,253.39,0.022756827048114433,0.08132019270866496,171.0
TERHAGEN,137,224.86,3.28,28,11.0,4.0,8.03,5.84,0.0,TERHAGEN,156,47,39,156,70.16,0.06697009102730819,0.2039868916487908,158.0
TERNAT,154,73.49,0.95,31,2.0,0.0,1.3,0.0,478.0,TERNAT,984,241,176,984,144.63,0.06046814044213264,-1.3303178027585754,369.0
TESTELT,92,127.75,2.78,19,10.0,0.0,10.87,1.09,479.0,TESTELT,335,72,98,335,85.59,0.032509752925877766,-0.1284432190934896,203.0
THEUX,69,57.785,1.67,14,1.0,0.0,1.45,0.0,480.0,THEUX,141,55,38,141,16.3,0.009102730819245773,-2.3334457493447665,517.0
THIEU,80,55.785,1.39,16,4.0,0.0,5.0,0.0,481.0,THIEU,99,19,25,99,11.05,0.026657997399219768,-1.465353606376037,389.0
THUIN,96,68.04,1.42,20,2.0,0.0,2.08,0.0,482.0,THUIN,259,61,54,259,35.24,0.03185955786736021,-1.8134885944402939,449.0
THULIN,83,109.71,2.64,17,6.0,0.0,7.23,0.0,483.0,THULIN,127,53,52,127,27.87,0.024057217165149546,-0.9540322598269931,318.0
THURN EN TAXIS,70,130.95,3.74,14,10.0,0.0,14.29,1.43,0.0,THURN EN TAXIS,112,33,28,112,29.33,0.0305591677503251,0.3487500531546661,150.0
TIELEN,129,147.475,2.29,27,8.0,2.0,6.2,3.1,484.0,TIELEN,675,327,441,675,199.09,0.04161248374512354,-0.6159772988760007,273.0
TIELT,101,185.61,3.68,22,8.0,2.0,7.92,3.96,485.0,TIELT,956,397,514,956,354.89,0.035110533159947985,-0.4282335303447214,243.0
TIENEN,350,507.985,2.9,72,36.0,0.0,10.29,0.29,486.0,TIENEN,3963,1692,1135,3963,4026.29,0.16579973992197658,3.5621606419176817,25.0
TILFF,84,68.71,1.64,17,3.0,0.0,3.57,0.0,487.0,TILFF,124,27,41,124,17.04,0.033810143042912875,-1.589153975485989,404.0
TILLY,89,55.7,1.25,20,2.0,0.0,2.25,0.0,488.0,TILLY,200,28,24,200,22.28,0.05201560468140442,-1.6312923948725788,412.0
TOLLEMBEEK,142,252.535,3.56,29,15.0,4.0,10.56,5.63,489.0,TOLLEMBEEK,258,58,58,258,130.31,0.05851755526657997,0.6535783345903166,121.0
TONGEREN,119,69.925,1.18,25,2.0,0.0,1.68,0.0,490.0,TONGEREN,680,175,191,680,95.1,0.04681404421326398,-1.599036724959749,407.0
TORHOUT,175,341.185,3.9,36,12.0,4.0,6.86,4.57,491.0,TORHOUT,1757,364,397,1757,1198.92,0.07347204161248375,0.5764177151914924,130.0
TOURNAI,279,368.4,2.64,58,20.0,5.0,7.17,3.58,493.0,TOURNAI,6316,2478,2089,6316,4653.63,0.13198959687906373,1.9686874107902241,56.0
TROIS-PONTS,75,82.1,2.19,15,5.0,1.0,6.67,2.67,494.0,TROIS-PONTS,154,113,213,154,25.29,0.022106631989596878,-1.1812072901510342,344.0
TROOZ,140,151.55,2.16,29,9.0,0.0,6.43,0.71,495.0,TROOZ,119,44,37,119,36.07,0.06827048114434331,-0.22663959853420257,219.0
TUBIZE,224,329.035,2.94,46,20.0,4.0,8.93,3.12,496.0,TUBIZE,2642,1376,971,2642,1738.62,0.11053315994798439,1.580224592211281,70.0
TURNHOUT,68,25.65,0.75,14,1.0,0.0,1.47,1.47,497.0,TURNHOUT,1581,594,1101,1581,81.11,0.035110533159947985,-2.1290436923876452,502.0
UKKEL-KALEVOET,144,157.335,2.19,29,7.0,2.0,4.86,2.08,0.0,UKKEL-KALEVOET,883,265,220,883,277.85,0.06241872561768531,-0.5253506162610033,262.0
UKKEL-STALLE,70,86.29,2.47,14,4.0,0.0,5.71,1.43,0.0,UKKEL-STALLE,327,98,81,327,56.43,0.033810143042912875,-1.2387536632349365,353.0
VELTEM,124,195.535,3.15,27,14.0,2.0,11.29,4.03,500.0,VELTEM,339,92,90,339,132.57,0.0494148244473342,0.4557135127869156,143.0
VERTRIJK,133,182.9,2.75,28,11.0,0.0,8.27,0.0,501.0,VERTRIJK,496,154,139,496,181.44,0.06176853055916775,0.07256854530913313,174.0
VERVIERS-CENTRAL,272,352.44,2.59,57,21.0,2.0,7.72,1.84,502.0,VERVIERS-CENTRAL,4202,2640,2642,4202,2961.91,0.13849154746423928,2.008174488971352,55.0
VERVIERS-PALAIS,88,158.085,3.59,18,10.0,1.0,11.36,2.27,503.0,VERVIERS-PALAIS,8,24,20,8,2.53,0.04226267880364109,0.11342020551260733,167.0
VEURNE,85,63.635,1.5,17,2.0,0.0,2.35,1.18,504.0,VEURNE,506,212,400,506,64.4,0.035110533159947985,-1.7962818872574997,447.0
