Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
NOORDERKEMPEN,186,361.81,3.89,42,20.0,7.0,10.75,7.53,394.0,NOORDERKEMPEN,1237,605,481,1237,895.12,0.052478134110787174,0.6510613583721905,153.0
NOSSEGEM,704,1234.325,3.51,147,84.0,12.0,11.93,3.55,395.0,NOSSEGEM,407,136,77,407,1004.74,0.413022351797862,7.704263198069171,13.0
OBAIX-BUZET,193,179.085,1.86,39,8.0,1.0,4.15,1.04,0.0,OBAIX-BUZET,1000,300,250,1000,358.17,0.0923226433430515,-0.9652602943936922,355.0
OBOURG,186,150.01,1.61,38,10.0,3.0,5.38,3.23,0.0,OBOURG,1000,300,250,1000,300.02,0.07482993197278912,-0.8832724417036819,343.0
OBOURG-MARCHANDISES,186,165.285,1.78,38,10.0,3.0,5.38,3.23,0.0,OBOURG-MARCHANDISES,1000,300,250,1000,330.57,0.0826044703595724,-0.7911993419495629,323.0
OKEGEM,139,203.61,2.93,28,11.0,2.0,7.91,2.88,398.0,OKEGEM,209,57,48,209,85.11,0.03984450923226433,-0.6588335550132279,304.0
OLEN,133,147.685,2.22,27,8.0,2.0,6.02,2.26,399.0,OLEN,598,177,235,598,176.63,0.05150631681243926,-1.154788879534956,382.0
OLEN-SAS,133,147.185,2.21,27,8.0,2.0,6.02,2.26,0.0,OLEN-SAS,1000,300,250,1000,294.37,0.05830903790087463,-1.0954958055005557,374.0
OLNE,241,289.815,2.41,51,22.0,4.0,9.13,3.73,0.0,OLNE,1000,300,250,1000,579.63,0.11467444120505345,0.8783197005503465,129.0
OOSTENDE,102,51.885,1.02,22,1.0,0.0,0.98,0.0,400.0,OOSTENDE,7017,6642,6304,7017,728.15,0.06997084548104957,-2.5526987523032103,515.0
OOSTKAMP,331,109.06,0.66,68,10.0,2.0,3.02,1.51,401.0,OOSTKAMP,195,45,71,195,42.53,0.13994169096209913,-0.3756332186053442,273.0
OPWIJK,179,292.475,3.27,36,18.0,4.0,10.06,3.91,402.0,OPWIJK,1101,410,302,1101,644.03,0.08649173955296405,0.6124754844905563,159.0
OTTIGNIES,611,753.7,2.47,128,39.0,7.0,6.38,2.29,403.0,OTTIGNIES,23508,9202,8424,23508,35435.96,0.3275024295432459,5.131557969922175,29.0
OTTIGNIES-RELAIS,40,49.26,2.46,21,2.0,0.0,5.0,2.5,0.0,OTTIGNIES-RELAIS,1000,300,250,1000,98.52,0.023323615160349854,-2.219391770133663,487.0
OUD-HEVERLEE,177,62.815,0.71,37,2.0,1.0,1.13,1.13,404.0,OUD-HEVERLEE,130,14,16,130,16.33,0.07482993197278912,-2.146948359134824,475.0
OUDEGEM,128,83.125,1.3,26,4.0,0.0,3.12,0.78,0.0,OUDEGEM,1000,300,250,1000,166.25,0.05539358600583091,-1.9837097396463907,456.0
OUDENAARDE,299,181.025,1.21,63,8.0,2.0,2.68,1.67,406.0,OUDENAARDE,3814,1027,722,3814,1380.86,0.1098153547133139,-0.7041707939331256,312.0
OUGREE,118,47.515,0.81,24,0.0,0.0,0.0,0.0,407.0,OUGREE,65,31,21,65,6.18,0.031098153547133137,-3.082799264929166,552.0
OVERPELT,64,153.34,4.79,13,12.0,2.0,18.75,4.69,408.0,OVERPELT,248,71,146,248,76.06,0.03595724003887269,1.6340868059228546,79.0
PALISEUL,60,19.065,0.64,12,0.0,0.0,0.0,0.0,409.0,PALISEUL,65,26,51,65,2.48,0.01749271137026239,-3.4964037213581367,581.0
PAPIGNIES,79,114.5,2.9,16,6.0,1.0,7.59,2.53,410.0,PAPIGNIES,110,21,13,110,25.19,0.02040816326530612,-1.314203487115352,404.0
